,구분,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,평균,위도,경도
0,조사종수,130,132,121,122,130,128,127.17,-,-
1,경기도,"195,697","235,931","226,102","174,697","242,320","164,221","206,494.67",37.2752,127.0095
2,연천군,"1,515","2,824","6,078","7,240","9,786","13,255","6,783.00",38.0964,127.0746
4,팔당호(경안천 포함),"3,483","3,856","2,682","1,746","3,906","3,825","3,249.67",37.513865100000004,127.30635998178684
5,남한강(양평-여주),"1,031","5,409","2,934","3,818","5,081","5,213","3,914.33",37.4990915,127.4780323980459
6,남한강(여주-충주),"5,614","11,695","15,195","17,664","12,744","13,765","12,779.50",37.2997615,127.6493037
7,북한강(청평댐-화천교),0,"1,955","1,587","1,061","1,166",0,961.5,37.721817,127.4064049
8,안양천,469,"3,760","3,950","4,357","3,620","2,664","3,136.67",37.4606346,126.8891702
9,"한강하구(오두산전망대-일산대교)·김포평야(하성, 사우동)·공릉천","21,953","15,164","18,314","14,473","14,375","22,295","17,762.33",37.651931950000005,126.71744145929797
10,"한강하류(일산대교-행주대교)·이화동 일원(홍도평, 이화리, 태리)","13,813","27,042","27,665","16,417","20,900","19,488","20,887.50",37.5928784,126.8047787
11,임진강(장남교-오두산전망대),"22,459","22,517","11,509","18,384","19,455","15,621","18,324.17",37.9699351,126.8939423
12,대부도,0,"11,133","8,069","6,463","10,260",0,"5,987.50",37.251481749999996,126.60066961024701
13,시화호,"59,365","41,712","21,415","7,592","12,468","26,315","28,144.50",37.297262,126.66935315697435
14,왕송저수지,753,"1,600","1,377",847,863,731,"1,028.50",37.3100504,126.9506537
15,물왕저수지,0,0,0,0,0,0,,37.38107945,126.83683015239595
16,발안저수지,0,863,422,481,"1,158",0,487.33,37.1705159,126.93073168904343
17,서호,"1,151","3,482","3,005","1,382",932,885,"1,806.17",37.27748285,126.98915042535754
18,진위천,"2,020","2,014","3,026","3,023","4,467","1,310","2,643.33",37.0959721,127.090684
19,이동저수지,0,708,499,829,455,0,415.17,37.120856,127.20151849648728
20,고삼저수지,0,"1,090","1,166","1,004","1,384",0,774,37.0853719,127.29800298715521
21,청미천,797,"5,048","3,125","4,931","4,303","3,188","3,565.33",37.1048523,127.5357903
22,"남양만(장안면, 우정면)","39,071","29,729","41,129","6,830","10,968","16,470","24,032.83",37.0261002,126.7954341
23,남양호,"7,162","5,697","9,728","6,177","6,106","3,578","6,408.00",37.04744185,126.87328320640002
24,아산만,0,"14,408","19,385","15,904","6,840",0,"9,422.83",37.01885285,126.69386603339379
25,아산호,"5,631","8,533","5,540","11,320","56,782","5,143","15,491.50",36.9213786,126.92423665523302
26,안성천,601,"1,386","1,493","1,267","1,565","1,037","1,224.83",37.0164713,127.3078027
27,공릉천중류,907,"2,063","3,194","3,052","2,659","1,582","2,242.83",37.6844637,126.8660552
28,황구지천,"1,719","1,901","2,489","2,870","3,186",898,"2,177.17",37.2310323,126.9928962
29,포천천,709,"1,289","1,256","1,112","1,538","1,521","1,237.50",37.8244996,127.1475775
30,복하천,705,"1,626","1,274","3,590","2,373","2,305","1,978.83",37.2581444,127.4503044
31,경안천,0,0,0,0,0,0,,37.3407933,127.2491459
32,공릉천하류,"3,433","2,643","3,493","2,804","2,345","1,732","2,741.67",37.745301,126.7902293
33,화성호,0,0,0,0,0,0,,37.1061824,126.70903131354012
34,신천,985,"1,197",962,"1,135","1,270","1,052","1,100.17",37.41413985,126.75558837746314
35,원천리천,351,686,438,422,735,348,496.67,37.2513315,127.0427366
